Outcome,Coalition,Labor,Greens,Palmer United,Motoring Enthusiast,Xenophon,Democratic Labour,Liberal Democratic,Family First
For,0,23,10,3,1,0,0,0,0
Against,31,0,0,0,0,1,1,1,1
Abstain,2,2,0,0,0,0,0,0,0
