Outcome,Coalition,Labor,Greens,Palmer United,Motoring Enthusiast,Xenophon,Democratic Labour,Liberal Democratic,Family First
For,28,0,0,3,1,0,0,1,1
Against,0,20,10,0,0,1,0,0,0
Abstain,5,5,0,0,0,0,1,0,0
