Outcome,Coalition,Labor,Greens,Palmer United,Motoring Enthusiast,Xenophon,Democratic Labour,Liberal Democratic,Family First
For,33,,,3,1,,1,1,1
Against,,25,10,,,,,,
Abstain,,,,,,1,,,,
